Partner,Type,ID,Compare
ACTED,Rows are Duplicates,1_299,1_309
ACTED,Rows are Duplicates,1_194,1_196
ACTED,Rows are Duplicates,1_204,1_205
ACTED,Rows are Duplicates,1_320,1_323
ACTED,Rows are Duplicates,1_417,1_419
ACTED,Rows are Duplicates,1_541,1_538
ACTED,Rows are Duplicates,1_761,1_759
ACTED,Rows are Duplicates,1_733,1_740
ACTED,Rows are Duplicates,1_738,1_734
ACTED,Rows are Duplicates,1_729,1_727
ACTED,Rows are Duplicates,1_1030,1_1022
ACTED,Rows are Duplicates,1_1171,1_1162
ACTED,Rows are Duplicates,1_1170,1_1168
ACTED,Rows are Duplicates,1_887,1_885
ACTED,Rows are Duplicates,1_1161,1_1165
ACTED,Septic Backup Values Not Equal,2_50,
ACTED,Septic Backup Values Not Equal,2_51,
ACTED,Septic Backup Values Not Equal,2_52,
ACTED,Septic Backup Values Not Equal,2_53,
ACTED,Septic Backup Values Not Equal,2_54,
ACTED,Septic Backup Values Not Equal,2_55,
ACTED,Septic Backup Values Not Equal,2_56,
ACTED,Septic Backup Values Not Equal,2_63,
ACTED,Septic Backup Values Not Equal,2_64,
ACTED,Septic Backup Values Not Equal,2_65,
ACTED,Septic Backup Values Not Equal,2_66,
ACTED,Septic Backup Values Not Equal,2_67,
ACTED,Septic Backup Values Not Equal,2_68,
ACTED,Septic Backup Values Not Equal,2_69,
ACTED,Septic Backup Values Not Equal,2_389,
ACTED,Septic Backup Values Not Equal,2_390,
ACTED,Septic Backup Values Not Equal,2_391,
ACTED,Septic Backup Values Not Equal,2_392,
ACTED,Septic Backup Values Not Equal,2_393,
ACTED,Septic Backup Values Not Equal,2_394,
ACTED,Rows are Duplicates,2_517,2_519
ACTED,House Parameters Missing,9_607,
ACTED,House Parameters Missing,9_608,
ACTED,House Parameters Missing,9_609,
ACTED,House Parameters Missing,9_610,
ACTED,House Parameters Missing,9_611,
ACTED,House Parameters Missing,9_612,
ACTED,House Parameters Missing,9_613,
ACTED,House Parameters Missing,9_614,
ACTED,House Parameters Missing,9_615,
ACTED,House Parameters Missing,9_616,
ACTED,House Parameters Missing,9_617,
ACTED,House Parameters Missing,9_618,
ACTED,House Parameters Missing,9_619,
ACTED,House Parameters Missing,9_620,
ACTED,House Parameters Missing,9_621,
ACTED,House Parameters Missing,9_622,
ACTED,House Parameters Missing,9_623,
ACTED,House Parameters Missing,9_624,
ACTED,House Parameters Missing,9_625,
ACTED,House Parameters Missing,9_626,
ACTED,House Parameters Missing,9_627,
ACTED,House Parameters Missing,9_628,
ACTED,House Parameters Missing,9_629,
ACTED,House Parameters Missing,9_630,
ACTED,House Parameters Missing,9_687,
ACTED,House Parameters Missing,9_688,
ACTED,House Parameters Missing,9_689,
ACTED,House Parameters Missing,9_690,
ACTED,House Parameters Missing,9_691,
ACTED,House Parameters Missing,9_692,
ACTED,House Parameters Missing,9_693,
ACTED,House Parameters Missing,9_694,
ACTED,House Parameters Missing,9_695,
ACTED,House Parameters Missing,9_696,
ACTED,House Parameters Missing,9_697,
ACTED,House Parameters Missing,9_698,
ACTED,House Parameters Missing,9_699,
ACTED,House Parameters Missing,9_700,
ACTED,House Parameters Missing,9_701,
ACTED,House Parameters Missing,9_702,
ACTED,House Parameters Missing,9_703,
ACTED,House Parameters Missing,9_704,
ACTED,House Parameters Missing,9_705,
ACTED,House Parameters Missing,9_706,
ACTED,House Parameters Missing,9_707,
ACTED,House Parameters Missing,9_708,
ACTED,House Parameters Missing,9_709,
ACTED,House Parameters Missing,9_710,
ACTED,House Parameters Missing,9_711,
ACTED,House Parameters Missing,9_712,
ACTED,House Parameters Missing,9_713,
ACTED,House Parameters Missing,9_714,
ACTED,House Parameters Missing,9_715,
ACTED,House Parameters Missing,9_718,
ACTED,House Parameters Missing,9_719,
ACTED,House Parameters Missing,9_720,
ACTED,House Parameters Missing,9_721,
ACTED,House Parameters Missing,9_722,
ACTED,House Parameters Missing,9_723,
ACTED,House Parameters Missing,9_724,
ACTED,House Parameters Missing,9_725,
ACTED,House Parameters Missing,9_726,
ACTED,House Parameters Missing,9_727,
ACTED,House Parameters Missing,9_737,
ACTED,House Parameters Missing,9_738,
ACTED,House Parameters Missing,9_739,
ACTED,House Parameters Missing,9_740,
ACTED,House Parameters Missing,9_741,
ACTED,House Parameters Missing,9_742,
ACTED,House Parameters Missing,9_773,
ACTED,House Parameters Missing,9_774,
ACTED,House Parameters Missing,9_775,
ACTED,House Parameters Missing,9_776,
ACTED,House Parameters Missing,9_777,
ACTED,House Parameters Missing,9_778,
ACTED,House Parameters Missing,9_779,
ACTED,House Parameters Missing,9_780,
ACTED,House Parameters Missing,9_781,
ACTED,House Parameters Missing,9_782,
ACTED,House Parameters Missing,9_783,
ACTED,House Parameters Missing,9_784,
ACTED,House Parameters Missing,9_803,
ACTED,House Parameters Missing,9_804,
ACTED,House Parameters Missing,9_805,
ACTED,House Parameters Missing,9_806,
ACTED,House Parameters Missing,9_807,
ACTED,House Parameters Missing,9_808,
ACTED,House Parameters Missing,9_809,
ACTED,House Parameters Missing,9_810,
ACTED,House Parameters Missing,9_811,
ACTED,House Parameters Missing,9_812,
ACTED,House Parameters Missing,9_813,
ACTED,House Parameters Missing,9_814,
ACTED,House Parameters Missing,9_815,
ACTED,House Parameters Missing,9_816,
ACTED,House Parameters Missing,9_828,
ACTED,House Parameters Missing,9_829,
ACTED,House Parameters Missing,9_830,
ACTED,House Parameters Missing,9_831,
ACTED,House Parameters Missing,9_832,
ACTED,House Parameters Missing,9_833,
ACTED,House Parameters Missing,9_834,
ACTED,House Parameters Missing,9_835,
ACTED,House Parameters Missing,9_836,
ACTED,House Parameters Missing,9_837,
ACTED,House Parameters Missing,9_838,
ACTED,House Parameters Missing,9_839,
ACTED,House Parameters Missing,9_840,
ACTED,House Parameters Missing,9_841,
ACTED,House Parameters Missing,9_842,
ACTED,House Parameters Missing,9_843,
ACTED,House Parameters Missing,9_844,
ACTED,House Parameters Missing,9_845,
ACTED,House Parameters Missing,9_846,
ACTED,House Parameters Missing,9_847,
ACTED,House Parameters Missing,9_879,
ACTED,House Parameters Missing,9_880,
ACTED,House Parameters Missing,9_881,
ACTED,House Parameters Missing,9_882,
ACTED,House Parameters Missing,9_883,
ACTED,House Parameters Missing,9_884,
ACTED,House Parameters Missing,9_885,
ACTED,House Parameters Missing,9_886,
ACTED,House Parameters Missing,9_887,
ACTED,House Parameters Missing,9_888,
ACTED,House Parameters Missing,9_889,
ACTED,House Parameters Missing,9_906,
ACTED,House Parameters Missing,9_907,
ACTED,House Parameters Missing,9_908,
ACTED,House Parameters Missing,9_909,
ACTED,House Parameters Missing,9_910,
ACTED,House Parameters Missing,9_911,
ACTED,House Parameters Missing,9_912,
ACTED,House Parameters Missing,9_913,
ACTED,House Parameters Missing,9_1302,
ACTED,House Parameters Missing,9_1303,
ACTED,House Parameters Missing,9_1304,
ACTED,House Parameters Missing,9_1305,
ACTED,House Parameters Missing,9_1306,
ACTED,House Parameters Missing,9_1307,
ACTED,House Parameters Missing,9_1308,
ACTED,House Parameters Missing,9_1309,
ACTED,House Parameters Missing,9_1310,
ACTED,House Parameters Missing,9_1311,
ACTED,House Parameters Missing,9_1312,
ACTED,House Parameters Missing,9_1313,
ACTED,House Parameters Missing,9_1314,
ACTED,House Parameters Missing,9_1315,
ACTED,House Parameters Missing,9_1316,
ACTED,House Parameters Missing,9_1317,
ACTED,House Parameters Missing,9_1318,
ACTED,House Parameters Missing,9_1319,
ACTED,House Parameters Missing,9_1320,
ACTED,House Parameters Missing,9_1321,
ACTED,House Parameters Missing,9_1322,
ACTED,House Parameters Missing,9_1323,
ACTED,House Parameters Missing,9_1324,
ACTED,House Parameters Missing,9_1325,
ACTED,House Parameters Missing,9_1326,
ACTED,House Parameters Missing,9_1327,
ACTED,House Parameters Missing,9_1328,
ACTED,House Parameters Missing,9_1329,
ACTED,House Parameters Missing,9_1330,
ACTED,House Parameters Missing,9_1331,
ACTED,House Parameters Missing,9_1332,
ACTED,House Parameters Missing,9_1333,
ACTED,House Parameters Missing,9_1334,
ACTED,House Parameters Missing,9_1335,
ACTED,House Parameters Missing,9_1336,
ACTED,House Parameters Missing,9_1337,
ACTED,House Parameters Missing,9_1338,
ACTED,House Parameters Missing,9_1339,
ACTED,House Parameters Missing,9_1340,
ACTED,House Parameters Missing,9_1341,
ACTED,House Parameters Missing,9_1342,
ACTED,House Parameters Missing,9_1343,
ACTED,House Parameters Missing,9_1344,
ACTED,House Parameters Missing,9_1345,
ACTED,House Parameters Missing,9_1346,
ACTED,House Parameters Missing,9_1347,
ACTED,House Parameters Missing,9_1348,
ACTED,House Parameters Missing,9_1349,
ACTED,House Parameters Missing,9_1350,
ACTED,House Parameters Missing,9_1351,
ACTED,House Parameters Missing,9_1352,
ACTED,House Parameters Missing,9_1353,
ACTED,House Parameters Missing,9_1354,
ACTED,House Parameters Missing,9_1355,
ACTED,House Parameters Missing,9_1356,
ACTED,House Parameters Missing,9_1357,
ACTED,House Parameters Missing,9_1358,
ACTED,House Parameters Missing,9_1359,
ACTED,House Parameters Missing,9_1360,
ACTED,House Parameters Missing,11_331,
ACTED,Steel Parameters Missing,11_331,
ACTED,House Parameters Missing,11_332,
ACTED,Steel Parameters Missing,11_332,
ACTED,House Parameters Missing,11_333,
ACTED,Steel Parameters Missing,11_333,
ACTED,House Parameters Missing,11_334,
ACTED,Steel Parameters Missing,11_334,
ACTED,House Parameters Missing,11_335,
ACTED,Steel Parameters Missing,11_335,
ACTED,House Parameters Missing,11_1083,
ACTED,Steel Parameters Missing,11_1083,
ACTED,House Parameters Missing,11_1084,
ACTED,Steel Parameters Missing,11_1084,
ACTED,House Parameters Missing,11_1085,
ACTED,Steel Parameters Missing,11_1085,
ACTED,House Parameters Missing,11_1143,
ACTED,Steel Parameters Missing,11_1143,
ACTED,Steel Parameters Missing,11_1294,
ACTED,Steel Parameters Missing,11_1295,
ACTED,Steel Parameters Missing,11_1296,
ACTED,Steel Parameters Missing,11_1297,
ACTED,Steel Parameters Missing,11_1298,
ACTED,Steel Parameters Missing,11_1299,
ACTED,Rows are Duplicates,11_149,11_153
ACTED,Rows are Duplicates,11_629,11_624
ACTED,Rows are Duplicates,11_587,11_584
ACTED,Rows are Duplicates,11_509,11_508
ACTED,Rows are Duplicates,11_494,11_487
ACTED,Rows are Duplicates,11_453,11_457
ACTED,Rows are Duplicates,11_458,11_452
ACTED,Rows are Duplicates,11_459,11_451
ACTED,Rows are Duplicates,11_386,11_384
ACTED,Rows are Duplicates,11_812,11_814
ACTED,Rows are Duplicates,11_827,11_834
ACTED,Rows are Duplicates,11_877,11_871
ACTED,Rows are Duplicates,11_903,11_901
ACTED,Rows are Duplicates,11_1371,11_1373
ACTED,Rows are Duplicates,11_1263,11_1261
ACTED,Rows are Duplicates,11_1072,11_1070
ACTED,House Parameters Missing,12_141,
ACTED,Steel Parameters Missing,12_141,
ACTED,House Parameters Missing,12_143,
ACTED,Steel Parameters Missing,12_143,
ACTED,House Parameters Missing,12_152,
ACTED,House Parameters Missing,12_535,
ACTED,Rows are Duplicates,12_4,12_3
ACTED,Rows are Duplicates,12_435,12_439
ACTED,Rows are Duplicates,12_287,12_290
ACTED,Rows are Duplicates,12_971,12_972
ACTED,Rows are Duplicates,12_965,12_972
JEN,House Parameters Missing,375	,
JEN,Steel Parameters Missing,375	,
JEN,Steel Parameters Missing,519	,
JEN,Steel Parameters Missing,594	,
JEN,Steel Parameters Missing,595	,
JEN,Steel Parameters Missing,596	,
JEN,Steel Parameters Missing,597	,
JEN,Steel Parameters Missing,598	,
JEN,Steel Parameters Missing,850	,
JEN,Steel Parameters Missing,900	,
JEN,Steel Parameters Missing,901	,
JEN,Steel Parameters Missing,910	,
JEN,Steel Parameters Missing,911	,
JEN,Steel Parameters Missing,912	,
JEN,Steel Parameters Missing,913	,
JEN,House Parameters Missing,933	,
JEN,Steel Parameters Missing,978	,
JEN,Steel Parameters Missing,991	,
JEN,Steel Parameters Missing,992	,
JEN,Steel Parameters Missing,993	,
JEN,Steel Parameters Missing,994	,
JEN,Steel Parameters Missing,995	,
JEN,Steel Parameters Missing,996	,
JEN,House Parameters Missing,1049	,
JEN,Steel Parameters Missing,1106	,
JEN,Steel Parameters Missing,1107	,
JEN,Steel Parameters Missing,1108	,
JEN,Steel Parameters Missing,1109	,
JEN,House Parameters Missing,1215	,
JEN,Steel Parameters Missing,1241	,
JEN,Steel Parameters Missing,1242	,
JEN,Steel Parameters Missing,1243	,
JEN,Steel Parameters Missing,1244	,
JEN,Steel Parameters Missing,1245	,
JEN,Steel Parameters Missing,1246	,
JEN,Steel Parameters Missing,1247	,
JEN,Steel Parameters Missing,1248	,
JEN,Steel Parameters Missing,1249	,
JEN,Steel Parameters Missing,1250	,
JEN,Steel Parameters Missing,1251	,
JEN,Steel Parameters Missing,1252	,
JEN,Steel Parameters Missing,1253	,
JEN,Steel Parameters Missing,1254	,
JEN,Steel Parameters Missing,1255	,
JEN,Steel Parameters Missing,1256	,
JEN,Steel Parameters Missing,1257	,
JEN,Steel Parameters Missing,1258	,
JEN,Steel Parameters Missing,1259	,
JEN,Steel Parameters Missing,1260	,
JEN,Steel Parameters Missing,1261	,
JEN,Steel Parameters Missing,1262	,
JEN,Steel Parameters Missing,1263	,
JEN,Steel Parameters Missing,1264	,
JEN,Steel Parameters Missing,1265	,
JEN,Steel Parameters Missing,1266	,
JEN,Steel Parameters Missing,1267	,
JEN,Steel Parameters Missing,1268	,
JEN,Steel Parameters Missing,1269	,
JEN,Steel Parameters Missing,1270	,
JEN,Steel Parameters Missing,1271	,
JEN,Steel Parameters Missing,1272	,
JEN,Steel Parameters Missing,1273	,
JEN,Steel Parameters Missing,1274	,
JEN,Steel Parameters Missing,1275	,
JEN,Steel Parameters Missing,1276	,
JEN,Steel Parameters Missing,1277	,
JEN,Steel Parameters Missing,1278	,
JEN,Steel Parameters Missing,1279	,
JEN,Steel Parameters Missing,1280	,
JEN,Steel Parameters Missing,1281	,
JEN,Steel Parameters Missing,1282	,
JEN,Steel Parameters Missing,1283	,
JEN,Steel Parameters Missing,1284	,
JEN,Steel Parameters Missing,1285	,
JEN,Steel Parameters Missing,1286	,
JEN,Steel Parameters Missing,1287	,
JEN,Steel Parameters Missing,1288	,
JEN,Steel Parameters Missing,1289	,
JEN,Steel Parameters Missing,1290	,
JEN,Steel Parameters Missing,1291	,
JEN,Steel Parameters Missing,1292	,
JEN,Steel Parameters Missing,1293	,
JEN,Steel Parameters Missing,1294	,
JEN,Steel Parameters Missing,1295	,
JEN,Steel Parameters Missing,1296	,
JEN,Steel Parameters Missing,1297	,
JEN,Steel Parameters Missing,1299	,
JEN,Steel Parameters Missing,1300	,
JEN,Steel Parameters Missing,1301	,
JEN,Steel Parameters Missing,1401	,
JEN,Steel Parameters Missing,1402	,
JEN,Steel Parameters Missing,1403	,
JEN,Steel Parameters Missing,1404	,
JEN,Steel Parameters Missing,1405	,
JEN,Steel Parameters Missing,1406	,
JEN,Steel Parameters Missing,1407	,
JEN,Steel Parameters Missing,1408	,
JEN,Steel Parameters Missing,1491	,
JEN,Steel Parameters Missing,1492	,
JEN,Steel Parameters Missing,1506	,
JEN,Steel Parameters Missing,1507	,
JEN,Steel Parameters Missing,1508	,
JEN,Steel Parameters Missing,1509	,
JEN,Steel Parameters Missing,1510	,
JEN,Steel Parameters Missing,1615	,
JEN,Steel Parameters Missing,1616	,
JEN,Steel Parameters Missing,1617	,
JEN,Steel Parameters Missing,1625	,
JEN,Steel Parameters Missing,1626	,
JEN,Steel Parameters Missing,1627	,
JEN,Steel Parameters Missing,1628	,
JEN,Steel Parameters Missing,1629	,
JEN,Steel Parameters Missing,1630	,
JEN,Steel Parameters Missing,1631	,
JEN,Steel Parameters Missing,1639	,
JEN,Rows Not Consistent,849,850
JEN,Rows Not Consistent,1116,1117
JEN,Rows Not Consistent,1436,1437
JEN,Rows Not Consistent,1617,1615
JEN,Rows Not Consistent,1615,1616
Oxfam,House Parameters Missing,19,
Oxfam,Steel Parameters Missing,19,
Oxfam,House Parameters Missing,42,
Oxfam,Steel Parameters Missing,42,
Oxfam,House Parameters Missing,46,
Oxfam,Steel Parameters Missing,46,
Oxfam,House Parameters Missing,73,
Oxfam,House Parameters Missing,118,
Oxfam,House Parameters Missing,245,
Oxfam,Steel Parameters Missing,245,
Oxfam,House Parameters Missing,303,
Oxfam,Steel Parameters Missing,303,
Oxfam,House Parameters Missing,472,
Oxfam,Steel Parameters Missing,472,
Oxfam,House Parameters Missing,509,
Oxfam,Steel Parameters Missing,509,
Oxfam,House Parameters Missing,544,
Oxfam,Steel Parameters Missing,544,
Oxfam,House Parameters Missing,830,
Oxfam,Steel Parameters Missing,830,
Oxfam,House Parameters Missing,971,
Oxfam,House Parameters Missing,1021,
Oxfam,Steel Parameters Missing,1021,
Oxfam,House Parameters Missing,1022,
Oxfam,Steel Parameters Missing,1022,
Oxfam,House Parameters Missing,1025,
Oxfam,Steel Parameters Missing,1025,
Oxfam,House Parameters Missing,1032,
Oxfam,Steel Parameters Missing,1032,
Oxfam,House Parameters Missing,1033,
Oxfam,Steel Parameters Missing,1033,
Oxfam,House Parameters Missing,1049,
Oxfam,Steel Parameters Missing,1049,
Oxfam,House Parameters Missing,1088,
Oxfam,Steel Parameters Missing,1088,
Oxfam,House Parameters Missing,1089,
Oxfam,Steel Parameters Missing,1089,
Oxfam,House Parameters Missing,1090,
Oxfam,Steel Parameters Missing,1090,
Oxfam,House Parameters Missing,1163,
Oxfam,Steel Parameters Missing,1163,
Oxfam,House Parameters Missing,1181,
Oxfam,Steel Parameters Missing,1181,
Oxfam,House Parameters Missing,1182,
Oxfam,Steel Parameters Missing,1182,
Oxfam,House Parameters Missing,1183,
Oxfam,Steel Parameters Missing,1183,
Oxfam,House Parameters Missing,1187,
Oxfam,House Parameters Missing,1188,
Oxfam,House Parameters Missing,1189,
Oxfam,House Parameters Missing,1190,
Oxfam,House Parameters Missing,1191,
Oxfam,House Parameters Missing,1192,
Oxfam,House Parameters Missing,1201,
Oxfam,House Parameters Missing,1202,
Oxfam,House Parameters Missing,1213,
Oxfam,Steel Parameters Missing,1213,
Oxfam,House Parameters Missing,1217,
Oxfam,Steel Parameters Missing,1217,
Oxfam,House Parameters Missing,1225,
Oxfam,House Parameters Missing,1237,
Oxfam,Steel Parameters Missing,1237,
Oxfam,House Parameters Missing,1254,
Oxfam,Steel Parameters Missing,1254,
Oxfam,House Parameters Missing,1260,
Oxfam,Steel Parameters Missing,1260,
Oxfam,House Parameters Missing,1261,
Oxfam,Steel Parameters Missing,1261,
Oxfam,House Parameters Missing,1262,
Oxfam,Steel Parameters Missing,1262,
Oxfam,House Parameters Missing,1265,
Oxfam,Steel Parameters Missing,1265,
Oxfam,House Parameters Missing,1293,
Oxfam,House Parameters Missing,1309,
Oxfam,Steel Parameters Missing,1309,
Oxfam,House Parameters Missing,1310,
Oxfam,Steel Parameters Missing,1310,
Oxfam,House Parameters Missing,1320,
Oxfam,House Parameters Missing,1321,
Oxfam,House Parameters Missing,1326,
Oxfam,House Parameters Missing,1332,
Oxfam,House Parameters Missing,1344,
Oxfam,Steel Parameters Missing,1344,
Oxfam,House Parameters Missing,1351,
Oxfam,Steel Parameters Missing,1351,
Oxfam,House Parameters Missing,1368,
Oxfam,Steel Parameters Missing,1368,
Oxfam,House Parameters Missing,1417,
